,title,rating,acidity_structure,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,notes,roast_level,city,state,usd_per_oz
0,Bolivia Manantial Gesha,93.0,9.0,8.0,9.0,8.0,9.0,"Richly aromatic, floral-toned. Magnolia, cocoa nib, cane sugar, red plum, nutmeg in aroma and cup. Elegantly sweet structure with delicate, bright acidity; silky, vibrant mouthfeel. Flavor-saturated finish centered around notes of magnolia and cocoa nib, complicated by undertones of nutmeg. ","Caranavi, Bolivia","Produced by Angel Mamani Chambi, entirely of the Geisha (also spelled Gesha) variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",Medium-Light,Floyd, Virginia,2.5
1,Yellow Pacamara Carbonic Maceration Nanolot,92.0,8.0,8.0,9.0,8.0,9.0,"Crisply sweet-savory. White peach, hop flowers, cocoa powder, pineapple kefir, fir in aroma and cup. Sweetly savory structure with brisk acidity; crisp, velvety mouthfeel. The finish consolidates to notes of cocoa powder and fir.","Matagalpa growing region, Nicaragua","Produced by Benjamin Weiner at Finca Idealista entirely of the Yellow Pacamara variety of Arabica, and processed by the carbonic maceration method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee, still in the whole fruit. Established in Cleveland, Ohio in 2014, Eccentricity Coffee Co. roasts small-batch coffees that highlight each coffee’s full potential. Visit www.eccentricitycoffee.com.",Medium-Light,Cleveland, Ohio,13.33
2,Ethiopia Gera Genji Challa,94.0,9.0,8.0,9.0,9.0,9.0,"Delicately aromatic, complex. Lilac, cocoa nib, pink grapefruit zest, shishito pepper, apricot in aroma and cup. Sweetly tart with juicy, bright acidity; plush, syrupy-smooth mouthfeel. Floral finish with cocoa undertones.","Agaro Gera, Jimma Zone, Oromia State, Ethiopia","Ethiopia coffees like this one are largely produced largely from traditional indigenous landrace varieties of Arabica. Produced by smallholding members of the Nano Challa Cooperative and processed by the traditional washed method (fruit skin and pulp are removed before drying). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",Medium-Light,San Diego, California,2.33
3,Yirgacheffe Mengesha Natural,94.0,9.0,8.0,9.0,9.0,9.0,"High-toned, fruit-driven. Boysenberry, pear, cocoa nib, tangerine zest, pink peppercorn in aroma and cup. Sweetly tart structure with juicy-bright acidity; crisp, velvety mouthfeel. The finish consolidates to notes of boysenberry and tangerine zest with undertones of pink peppercorn.","Yirgacheffe growing region, southern Ethiopia","Produced at Mengesha Farm from selections of indigenous landrace varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). With more than 10 years of roasting experience, Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.",Medium-Light,Glendale, California,1.71
4,Tropical Summer Colombia La Sierra,93.0,9.0,8.0,9.0,8.0,9.0,"Fruit-driven, crisply chocolaty. Goji berry, dried plum, baking chocolate, amber, narcissus in aroma and cup. Crisply sweet structure with balanced acidity; lightly satiny mouthfeel. Fruit-toned finish supported by notes of baking chocolate.","La Sierra, Cauca Department, Colombia","Produced by smallholding farmers from trees of the Castillo, Caturra, Pajarito, Tabi and Bourbon varieties of Arabica, and processed by the traditional washed method using species of lactic acid-producing yeast and bacteria during the fermentation step. Merge is a specialty coffee roaster in Harrisonburg, Virginia dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.",Medium-Light,Harrisonburg, Virginia,2.37
5,The Glistening Orchard Blend,91.0,7.0,8.0,9.0,8.0,9.0,"Fruity and crisply chocolaty. Green banana, cane sugar, dark chocolate, cedar, cashew in aroma and cup. Sweetly tart with sharp acidity; full, velvety mouthfeel. The finish consolidates to notes of chocolate-toned banana and cashew.
",Colombia; Ethiopia,"A blend of three coffees — a washed coffee fermented with pineapple and another fermented with passionfruit from Colombia and a traditional washed from Ethiopia. Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.",Medium-Light,Taipei, Taiwan,1.89
6,Tinamit Tolimán,93.0,8.0,8.0,9.0,9.0,9.0,"Deeply sweet-tart, chocolate-toned. Dark chocolate, pomegranate, praline, magnolia, a hint of marjoram in aroma and cup. Sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. The finish consolidates to dark chocolate with undertones of praline and magnolia.
","San Lucas Tolimán, Lake Atitlán growing region, Guatemala","Produced by smallholding farmers of Asociación Tinamit from a field blend of traditional varieties grown in the region, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.

",Medium-Light,Antigua, Guatemala,1.33
7,Colombia La Esperanza 100% Geisha Hanashaku,94.0,9.0,8.0,9.0,9.0,9.0,"Delicate, elegant, sweetly bright. Bergamot, cocoa nib, dried mango, freesia, fresh-cut oak in aroma and cup. Sweet-toned structure with sparkling acidity; silky-smooth mouthfeel. Gently citrusy, cocoa-toned finish.
","Valle de Cauca, Colombia","Produced at Finca Cerro Azul, entirely of the Geisha variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). VERYTIME is a specialty nano-roaster based in Taoyuan, Taiwan. Visit www.verytime.com.tw/ for more information. 

 ",Light,Taoyuan, Taiwan,4.12
8,Colombia El Paraiso Floral Lychee,93.0,8.0,8.0,9.0,9.0,9.0,"Floral-toned, richly sweet-savory. Black cherry, dark chocolate, marjoram, sandalwood, agave syrup in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. The finish leads with notes of black cherry, rounding to cocoa tones in the long.

","Cauca Department, Colombia","Produced by Diego Bermudez entirely of the Castillo variety of Arabica, and processed by the double-anaerobic washed method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. Dr.Young Coffee is a Taiwan-based retail specialty coffee roaster with the goal of expressing each coffee’s best flavors. Visit https://lin.ee/HA27cIa for more information.

",Light,Taipei, Taiwan,2.89
9,Ethiopia Bekele Heto Natural,93.0,8.0,8.0,9.0,9.0,9.0,"Berry-driven, invitingly sweet-tart. Dried mulberry, cocoa nib, pink grapefruit zest, tea rose, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The long, lingering finish consolidates to notes of cocoa-toned mulberry and oak.","Worka-Sakaro, Gedeb District, Gedeo Zone, Ethiopia","Produced by Bekele Heto from largely indigenous Ethiopian landrace varieties of Arabica long grown in the region and processed by the natural method (dried in the whole fruit). Imported via Royal Coffee’s single-farmer series. Founded by Brad Katz, a music lover and home coffee roaster, Bassline Coffee aims to offer something for every kind of coffee lover with roasts that bring out the inherent qualities of diverse green coffees. Visit www.basslinecoffee.com for more information.",Light,Oakland, California,2.1
